"","YEAR","COMMUNITY_AREA","homicides"
"278",2023,"EAST SIDE",7
"279",2023,"ENGLEWOOD",21
"280",2023,"FOREST GLEN",1
"281",2023,"FULLER PARK",11
"282",2023,"GAGE PARK",10
"283",2023,"GARFIELD RIDGE",1
"284",2023,"GRAND BOULEVARD",3
"285",2023,"GREATER GRAND CROSSING",25
"286",2023,"HEGEWISCH",1
"287",2023,"HERMOSA",2
"288",2023,"HUMBOLDT PARK",17
"289",2023,"HYDE PARK",6
"290",2023,"IRVING PARK",1
"291",2023,"JEFFERSON PARK",1
"292",2023,"KENWOOD",2
"293",2023,"LINCOLN PARK",2
"294",2023,"LOGAN SQUARE",4
"295",2023,"LOOP",3
"296",2023,"LOWER WEST SIDE",8
"297",2023,"MCKINLEY PARK",3
"298",2023,"MONTCLARE",1
"299",2023,"MORGAN PARK",5
"300",2023,"NEAR NORTH SIDE",11
"301",2023,"NEAR SOUTH SIDE",2
"302",2023,"NEAR WEST SIDE",17
"303",2023,"NEW CITY",24
"304",2023,"NORTH CENTER",1
"305",2023,"NORTH LAWNDALE",29
"306",2023,"OAKLAND",2
"307",2023,"PORTAGE PARK",1
"308",2023,"PULLMAN",4
"309",2023,"RIVERDALE",3
"310",2023,"ROGERS PARK",4
"311",2023,"ROSELAND",29
"312",2023,"SOUTH CHICAGO",20
"313",2023,"SOUTH DEERING",3
"314",2023,"SOUTH LAWNDALE",13
"315",2023,"SOUTH SHORE",34
"316",2023,"UPTOWN",5
"317",2023,"WASHINGTON HEIGHTS",9
"318",2023,"WASHINGTON PARK",10
"319",2023,"WEST ELSDON",1
"320",2023,"WEST ENGLEWOOD",21
"321",2023,"WEST GARFIELD PARK",25
"322",2023,"WEST LAWN",3
"323",2023,"WEST PULLMAN",10
"324",2023,"WEST RIDGE",2
"325",2023,"WEST TOWN",6
"326",2023,"WOODLAWN",10
